plz,x,z,power_kw,year
38239,-0.0104,-0.347903,6200.0,2025
38302,0.029601,-0.340906,6200.0,2025
33189,-0.396496,-0.225517,4200.0,2025
56829,-0.766453,0.331646,4500.0,2025
56829,-0.771454,0.328773,4500.0,2025
33181,-0.408709,-0.113382,5560.0,2025
59075,-0.64825,-0.182897,6000.0,2025
59075,-0.646629,-0.180436,6000.0,2025
38239,-0.001842,-0.339492,5600.0,2025
31234,-0.033652,-0.412994,5600.0,2025
39418,0.270449,-0.233565,6000.0,2025
72525,-0.216623,0.915227,6000.0,2025
72525,-0.215002,0.917687,6000.0,2025
16278,0.846716,-0.626666,6800.0,2025
25821,-0.357285,-1.152982,5.0,2025
88374,-0.235284,1.071519,7200.0,2025
88374,-0.239414,1.081612,7200.0,2025
72525,-0.220003,0.914815,6000.0,2025
67700,-0.661817,0.529641,6800.0,2025
67699,-0.647932,0.539356,6800.0,2025
74736,-0.236552,0.522186,4260.0,2025
74736,-0.234932,0.524647,4260.0,2025
74746,-0.245964,0.534836,4200.0,2025
74746,-0.244343,0.537297,4260.0,2025
26759,-0.778572,-0.753284,2300.0,2025
38302,0.025472,-0.330813,6200.0,2025
34513,-0.337119,-0.021092,6200.0,2025
19205,0.158908,-0.838512,6800.0,2025
29378,0.083479,-0.507744,4200.0,2025
72525,-0.213326,0.911707,6000.0,2025
39418,0.27207,-0.231104,6000.0,2025
48317,-0.655579,-0.211911,6000.0,2025
38302,0.023422,-0.343681,6200.0,2025
33104,-0.410248,-0.199801,5560.0,2025
24220,-0.08778,-1.026977,5700.0,2025
24220,-0.08616,-1.024516,5700.0,2025
29378,0.078478,-0.510616,4200.0,2025
49757,-0.677524,-0.553139,6000.0,2025
33104,-0.415249,-0.202673,5560.0,2025
33104,-0.408572,-0.205781,5560.0,2025
33184,-0.363537,-0.19363,5560.0,2025
29571,0.081998,-0.611522,5560.0,2025
29378,0.085155,-0.513724,4200.0,2025
21702,-0.245503,-0.741293,22.0,2025
29378,0.081025,-0.503631,4200.0,2025
72525,-0.217456,0.9218,6000.0,2025
72525,-0.219505,0.908932,6000.0,2025
33178,-0.413911,-0.165307,5560.0,2025
50171,-0.907144,0.104124,2300.0,2025
50171,-0.905523,0.106585,2300.0,2025
50354,-0.862579,0.100747,2300.0,2025
50354,-0.860958,0.103208,2300.0,2025
29378,0.078975,-0.516499,5700.0,2025
25554,-0.261616,-0.921846,4800.0,2025
24369,-0.113284,-1.125831,5700.0,2025
34513,-0.335499,-0.018631,6200.0,2025
24369,-0.111663,-1.12337,5700.0,2025
24369,-0.116664,-1.126242,5700.0,2025
33154,-0.445796,-0.1703,7200.0,2025
15306,0.940256,-0.447186,5560.0,2025
25436,-0.188075,-0.840539,5700.0,2025
25436,-0.186454,-0.838079,5700.0,2025
25436,-0.191455,-0.840951,5700.0,2025
39264,0.423611,-0.279807,5.0,2025
38642,0.003132,-0.250001,2.0,2025
01612,0.704167,-0.044784,3600.0,2025
01609,0.709906,-0.074783,3600.0,2025
24369,-0.109988,-1.12935,5700.0,2025
24369,-0.114118,-1.119257,5700.0,2025
24369,-0.116167,-1.132125,5700.0,2025
24369,-0.107608,-1.123715,5700.0,2025
24582,-0.10262,-0.999281,5500.0,2025
24582,-0.100999,-0.99682,5500.0,2025
39443,0.282822,-0.244701,6000.0,2025
39443,0.284442,-0.24224,6000.0,2025
06429,0.314539,-0.224042,6000.0,2025
88374,-0.241463,1.068743,7200.0,2025
66606,-0.78999,0.572685,5600.0,2025
16945,0.432197,-0.720294,6200.0,2025
16945,0.428067,-0.710201,6200.0,2025
32699,-0.324239,-0.303277,5600.0,2025
16945,0.426018,-0.723069,6200.0,2025
16945,0.434577,-0.714659,6200.0,2025
25436,-0.184778,-0.844059,5700.0,2025
33154,-0.444176,-0.167839,2300.0,2025
48317,-0.653958,-0.20945,6000.0,2025
37696,-0.292083,-0.215585,7000.0,2025
61276,-0.49274,0.28067,6200.0,2025
61276,-0.491119,0.283131,6200.0,2025
25767,-0.283708,-0.993899,4260.0,2025
25923,-0.367991,-1.235467,6.0,2024
32805,-0.357938,-0.232107,4200.0,2025
33034,-0.307737,-0.191493,5600.0,2025
61276,-0.49612,0.280259,6200.0,2025
32657,-0.371385,-0.290489,4200.0,2025
09600,0.671477,0.089424,5560.0,2025
38459,0.129508,-0.403132,6600.0,2025
31595,-0.355633,-0.474908,4260.0,2025
31595,-0.354013,-0.472447,4260.0,2025
39179,0.276667,-0.347386,6800.0,2025
55599,-0.597871,0.461569,5560.0,2025
31234,-0.032031,-0.410533,5600.0,2025
81375,0.248879,1.016143,1.0,2025
06917,0.606498,-0.223499,6600.0,2025
48653,-0.789626,-0.248568,4260.0,2025
34513,-0.340499,-0.021503,6200.0,2025
99610,0.170374,-0.001959,5600.0,2025
99610,0.171995,0.000502,5600.0,2025
25920,-0.378978,-1.200452,6600.0,2025
25920,-0.377357,-1.197991,6600.0,2025
25920,-0.382358,-1.200863,6600.0,2025
25920,-0.375681,-1.203971,6600.0,2025
06386,0.388306,-0.202584,6800.0,2025
33154,-0.449176,-0.170711,2300.0,2025
06386,0.389927,-0.200123,6800.0,2025
06386,0.384926,-0.202995,6800.0,2025
06386,0.391602,-0.206103,6800.0,2025
65558,-0.577313,0.270379,600.0,2000
46286,-0.82557,-0.194902,6200.0,2025
52457,-1.008128,0.089197,5700.0,2025
52457,-1.001451,0.086089,5700.0,2025
52457,-1.005581,0.096182,5700.0,2025
52457,-1.00763,0.083314,5700.0,2025
55597,-0.598583,0.451402,5560.0,2025
55599,-0.59625,0.46403,5560.0,2025
09600,0.673098,0.091885,5560.0,2025
31848,-0.244114,-0.351617,5.0,2022
26906,-0.773339,-0.601097,5700.0,2025
75323,-0.463594,0.820751,5600.0,2025
52457,-0.999072,0.091724,5700.0,2025
52457,-1.010378,0.093686,5700.0,2025
34513,-0.333823,-0.024611,6200.0,2025
34513,-0.337953,-0.014518,6200.0,2025
06895,0.569943,-0.243505,6600.0,2025
06895,0.571564,-0.241045,6600.0,2025
48653,-0.788005,-0.246107,4260.0,2025
66606,-0.78837,0.575146,5600.0,2025
38464,0.107007,-0.398868,6600.0,2025
38464,0.108628,-0.396407,6600.0,2025
38464,0.103627,-0.399279,6600.0,2025
49777,-0.722924,-0.546376,5560.0,2025
49777,-0.721303,-0.543915,4200.0,2025
49777,-0.726304,-0.546787,5560.0,2025
38459,0.131128,-0.400671,6600.0,2025
38459,0.126128,-0.403543,6600.0,2025
38459,0.132804,-0.406651,6600.0,2025
38459,0.128674,-0.396558,6600.0,2025
66606,-0.79337,0.572273,5600.0,2025
55597,-0.596962,0.453862,5560.0,2025
55599,-0.601251,0.461157,5560.0,2025
55237,-0.580117,0.460381,5560.0,2025
33189,-0.394875,-0.223056,3600.0,2025
